address,owner,phone,damage_prob,storm_tag,intensity,strike_date,dispatch_status
"100 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536302,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"101 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536303,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"102 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536304,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"103 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536305,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"104 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536306,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"105 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536307,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"106 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536308,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"107 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536309,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"108 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536310,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"109 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536311,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"110 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536312,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"111 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536313,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"112 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536314,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"113 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536315,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"114 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536316,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"115 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536317,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"116 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536318,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"117 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536319,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"118 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536320,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"119 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536321,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"120 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536322,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"121 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536323,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
