phone_number,first_name,last_name,property_address,city,state,zip_code,hail_date,hail_size,storm_type,damage_probability,structures_hit,image_findings,lead_priority
+1001486514353758897,Melissa,Mcgee,"10057 , , Oklahoma 74084",Wynona,OKLAHOMA,74084,2026-01-08,76.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 76.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+10018328682794,Sally,Turner,"20304 OK 152, Union City, Oklahoma 73090",Union City,OKLAHOMA,73090,2026-01-08,70.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 70.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+155360435387093,Sara,Caldwell,"15922 County Road 1290, , Oklahoma",Verden,OKLAHOMA,73092,2026-01-08,61.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 61.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+16567630348,Katie,Dorsey,"644 , , Oklahoma 74084",Wynona,OKLAHOMA,74084,2026-01-08,57.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 57.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+12208997909,Andrea,Weber,"1798 West Wheeler Street, Shawnee, Oklahoma 74801",Shawnee,OKLAHOMA,74801,2026-01-08,56.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 56.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+198623966171551,Shawn,Levine,"79126 Northeast 45th Street, Lawton, Oklahoma 73507",Lawton,OKLAHOMA,73501,2026-01-08,56.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 56.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+16885750984,Manuel,Nelson,"4613 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OKLAHOMA,74075,2026-01-08,56.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 56.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+138393990798733,Maria,Coleman,"3806 West County Road 75, , Oklahoma 73044",,OKLAHOMA,,2026-01-08,56.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 56.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+1168477609676599,Mark,Myers,"18001 Coker Road, Bethel Acres, Oklahoma 74801",Tecumseh,OKLAHOMA,74873,2026-01-08,52.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 52.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+12389733215,Tiffany,Camacho,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OKLAHOMA,74075,2026-01-08,52.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 52.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
+19577858614,Cassandra,Martinez,"5515 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OKLAHOMA,73099,2026-01-08,52.0,Hail,99.0,Primary roof system and multiple ancillary structures,"Damage: 99.0% | Hail: 52.0"" | Method: PROB_ESTIMATE",PRIORITY_1_EMERGENCY
