phone_number,first_name,last_name,property_address,city,state,zip_code,hail_date,hail_size,storm_type,damage_probability,structures_hit,image_findings,lead_priority
,Edmond,,1500 E 2nd St,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,2500 Danforth Rd,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,3300 S Broadway,Edmond,OK,73034,2026-04-23,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,900 W 15th St,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,600 S Kelly Ave,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-04-23,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1500 E 2nd St,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-04-23,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,OKC,,1669 Pennsylvania Ave,The Village,OKLAHOMA,73120,2026-04-27,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1600 NW 178th St,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,600 S Kelly Ave,Edmond,OK,73034,2026-04-23,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,900 W 15th St,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,900 W 15th St,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,900 W 15th St,Edmond,OK,73034,2026-04-23,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,1500 E 2nd St,Edmond,OK,73034,2026-04-23,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,3300 S Broadway,Edmond,OK,73034,2026-04-03,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Edmond,,2100 E Memorial Rd,Edmond,OK,73034,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"100 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"101 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"102 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"103 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"104 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"105 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"106 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"107 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"108 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"109 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"110 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"111 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"112 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"113 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"114 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"115 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"116 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"117 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"118 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"119 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"120 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"121 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"122 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"123 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"124 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"125 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"126 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"127 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"128 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"129 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"130 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"131 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"132 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"133 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"134 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"135 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"136 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"137 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
,Homeowner,,"138 Wilshire Blvd, Nichols Hills, OK 73116",Nichols Hills,OK,73116,2026-03-10,,Hail,0.0,Main roof surface,Forensic index 0.0% aligned with reported hail event; property flagged for verification outreach.,PRIORITY_3_LOW_INTENT
