First_Name,first_name,last_name,phone_number,phone_number,property_address,city,state,zip_code,hail_date,hail_size,storm_type,damage_probability,structures_hit,image_findings,lead_priority,verification_images_json,verification_text_json,call_pitch_why,call_script_reasons_json,in_hail_alley,corroboration,observation_count
James,James,Baird,12025155648,12025155648,237 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,79.67,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 79.67%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 80% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Ana,Ana,Snyder,12088129187,12088129187,225 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,80.29,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 80.29%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 80% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Evan,Evan,Cruz,12359450807,12359450807,257 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,78.54,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 78.54%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 79% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Dr.,Dr.,Kenneth Murphy II,12362339006,12362339006,253 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,78.72,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 78.72%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 79% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Janice,Janice,Mitchell,12485060304,12485060304,263 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,77.94,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 77.94%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 78% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Paul,Paul,Case,12546185646,12546185646,251 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,78.58,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 78.58%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 79% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Scott,Scott,King,12564094368,12564094368,235 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,79.76,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 79.76%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 80% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Mike,Mike,Trevino,13049951330,13049951330,269 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,75.55,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 75.55%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 76% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Alexander,Alexander,Oconnor,13124857545,13124857545,233 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,79.66,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 79.66%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 80% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
Robert,Robert,Flores,14195162442,14195162442,281 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,69.13,"Primary roof system and ancillary metals (gutters, soft metals)",Damage: 69.13%,PRIORITY_1_EMERGENCY,"[{""url"": ""/images/hail_68102_11.png"", ""role"": ""damage_reference_a"", ""why"": ""Reference comparative hail-impact signature used when property-specific imagery is incomplete; supports narrative for 69% damage band."", ""call_hook"": ""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns.""}, {""url"": ""/images/hail_68102_15.png"", ""role"": ""damage_reference_b"", ""why"": ""Paired reference tile for call consistency across high-severity hail cohort."", ""call_hook"": ""Second still backs up inspection ask without overstating property-specific proof.""}]",[],Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns. Second still backs up inspection ask without overstating property-specific proof.,"[""Script: tie homeowner pain to high-index damage and typical granule/soft-metal loss patterns."", ""Second still backs up inspection ask without overstating property-specific proof.""]",yes,city_reports,2
