# 24h hail-strike call list. Generated 2026-05-06T07:21:37.213434+00:00 (UTC). --hours=24 --min-prob=0.5 --top=25 --state=TX,OK,KS,NE. 32/92 forecast cells crossed the floor.
rank,peak_hail_probability,peak_risk_score,peak_time_utc,hours_until_peak,hail_core_radius_ft,hail_core_confidence,peak_cape_j_kg,peak_lightning_potential,street_address,city,state,zip_code,homeowner_name,phone_number,has_phone,email,damage_score,contact_id,event_id,storm_event_date,forecast_cell_lat,forecast_cell_lon,storm_lat,storm_lon,distance_to_cell_km
1,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,313 Oak St,Jonathanside,OK,73000,Local Resident,+14055550332,yes,,94.6,332,3595,2026-04-24,35.0,-103.0,35.0724,-102.9533,9.1
2,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,936 Maple Ave,Torresmouth,OK,73000,Local Resident,+14055550329,yes,,91.2,329,3361,2026-03-26,35.0,-103.0,35.0658,-102.9266,9.91
3,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,241 Pine Blvd,Jonathanside,OK,73000,Local Resident,+14055550333,yes,,91.2,333,3595,2026-04-24,35.0,-103.0,35.0724,-102.9533,9.1
4,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,281 Oak St,Jonathanside,OK,73000,Local Resident,+14055550331,yes,,82.7,331,3595,2026-04-24,35.0,-103.0,35.0724,-102.9533,9.1
5,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,277 Cedar Ln,Torresmouth,OK,73000,Local Resident,+14055550330,yes,,63.2,330,3361,2026-03-26,35.0,-103.0,35.0658,-102.9266,9.91
6,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,232 Washington Ave,Torresmouth,OK,73000,Local Resident,+14055550328,yes,,61.1,328,3361,2026-03-26,35.0,-103.0,35.0658,-102.9266,9.91
7,0.977,0.646,2026-05-06T22:00:00+00:00,14.64,97.4,0.845,4876.2,,171 Pine Blvd,Torresmouth,OK,73000,Local Resident,+14055550327,yes,,47.2,327,3361,2026-03-26,35.0,-103.0,35.0658,-102.9266,9.91
8,0.976,0.586,2026-05-06T17:00:00+00:00,9.64,97.5,0.839,4799.3,,"54006 , , Durango",Nguyenmouth,TX,,DEEP SEARCH REQ,UNVERIFIED,yes,CHECK COUNTY RECS,9.35,280,3278,2026-04-07,26.5,-106.0,26.5599,-105.9313,9.54
9,0.97,0.605,2026-05-07T00:00:00+00:00,16.64,101.5,0.833,5699.1,,452 FM 1490,Levelland,TX,79336,Kelly Levy,894-929-6975,yes,kelly.levy@gmail.com,1.01,2,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
10,0.97,0.605,2026-05-07T00:00:00+00:00,16.64,101.5,0.833,5699.1,,56839 FM 1490,Levelland,TX,79336,Jonathan Dillon,(425)445-1532x5448,yes,gillespiefaith@example.com,1.01,5,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
11,0.97,0.605,2026-05-07T00:00:00+00:00,16.64,101.5,0.833,5699.1,,3909 FM 1490,Levelland,TX,79336,Alicia Evans,911-687-6691,yes,kking@example.com,1.01,8,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
12,0.97,0.605,2026-05-07T00:00:00+00:00,16.64,101.5,0.833,5699.1,,"608 FM 1490, , Texas",Levelland,TX,79336,Nicholas Davis,824.620.9001x10053,yes,daniel69@example.com,1.01,11,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
13,0.97,0.582,2026-05-07T00:00:00+00:00,16.64,101.5,0.831,5800.0,,"1216 , , Chihuahua",Thompsonchester,TX,,DEEP SEARCH REQ,UNVERIFIED,yes,CHECK COUNTY RECS,4.9,224,3617,2026-04-06,30.25,-106.5,30.3359,-106.5949,13.2
14,0.97,0.582,2026-05-07T00:00:00+00:00,16.64,101.5,0.831,5800.0,,"744 , , Chihuahua",Thompsonchester,TX,,DEEP SEARCH REQ,UNVERIFIED,yes,CHECK COUNTY RECS,4.9,228,3617,2026-04-06,30.25,-106.5,30.3359,-106.5949,13.2
15,0.97,0.582,2026-05-07T00:00:00+00:00,16.64,101.5,0.831,5800.0,,"9254 , , Chihuahua",Thompsonchester,TX,,DEEP SEARCH REQ,UNVERIFIED,yes,CHECK COUNTY RECS,4.9,237,3617,2026-04-06,30.25,-106.5,30.3359,-106.5949,13.2
16,0.969,0.581,2026-05-06T17:00:00+00:00,9.64,102.3,0.857,4545.0,,"2646 , , Coahuila",Port Jon,TX,,DEEP SEARCH REQ,UNVERIFIED,yes,CHECK COUNTY RECS,10.92,276,3563,2026-03-27,27.75,-102.5,27.7988,-102.398,11.41
17,0.907,0.587,2026-05-06T21:00:00+00:00,13.64,142.8,0.836,3930.7,,"800 , , Nuevo León",North Rebeccatown,TX,,DEEP SEARCH REQ,UNVERIFIED,yes,CHECK COUNTY RECS,6.53,227,3779,2026-04-05,26.5,-100.5,26.598,-100.5262,11.2
