# 24h hail-strike call list. Generated 2026-05-06T07:25:06.172846+00:00 (UTC). --hours=24 --min-prob=0.4 --top=50 --with-phone --state=TX,OK,KS,NE,AL,IL,MO,AR,LA,CO. 15/16 forecast cells crossed the floor.
rank,peak_hail_probability,peak_risk_score,peak_time_utc,hours_until_peak,hail_core_radius_ft,hail_core_confidence,peak_cape_j_kg,peak_lightning_potential,street_address,city,state,zip_code,homeowner_name,phone_number,has_phone,address_grade,address_grade_reasons,email,damage_score,contact_id,event_id,storm_event_date,forecast_cell_lat,forecast_cell_lon,storm_lat,storm_lon,distance_to_cell_km
1,0.97,0.605,2026-05-07T00:00:00+00:00,16.58,101.5,0.833,5699.1,,452 FM 1490,Levelland,TX,79336,Kelly Levy,894-929-6975,yes,real,,kelly.levy@gmail.com,1.01,2,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
2,0.97,0.605,2026-05-07T00:00:00+00:00,16.58,101.5,0.833,5699.1,,56839 FM 1490,Levelland,TX,79336,Jonathan Dillon,(425)445-1532x5448,yes,real,,gillespiefaith@example.com,1.01,5,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
3,0.97,0.605,2026-05-07T00:00:00+00:00,16.58,101.5,0.833,5699.1,,3909 FM 1490,Levelland,TX,79336,Alicia Evans,911-687-6691,yes,real,,kking@example.com,1.01,8,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
4,0.97,0.605,2026-05-07T00:00:00+00:00,16.58,101.5,0.833,5699.1,,"608 FM 1490, , Texas",Levelland,TX,79336,Nicholas Davis,824.620.9001x10053,yes,real,,daniel69@example.com,1.01,11,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
5,0.633,0.38,2026-05-06T22:00:00+00:00,14.58,372.1,0.611,2557.5,,"10057 , , Oklahoma 74084",Wynona,OK,74084,Melissa Mcgee,001-486-514-3537x58897,yes,real,,earl59@example.com,3.47,23,202,2026-01-08,36.5,-96.25,36.5181,-96.3422,8.48
6,0.633,0.38,2026-05-06T22:00:00+00:00,14.58,372.1,0.611,2557.5,,"644 , , Oklahoma 74084",Wynona,OK,74084,Katie Dorsey,656.763.0348,yes,real,,chad14@example.com,3.47,26,220,2026-01-08,36.5,-96.25,36.5181,-96.3422,8.48
7,0.57,0.386,2026-05-06T23:00:00+00:00,15.58,413.7,0.609,2050.0,,"3514 Vaughn Road, Montgomery, Alabama 36106",Montgomery,AL,36111,Mr. Blake Jones,(367)497-9184,yes,real,,simonkimberly@example.com,,15,208,2026-01-25,32.25,-86.25,32.3524,-86.2513,11.39
8,0.546,0.374,2026-05-06T21:00:00+00:00,13.58,429.4,0.583,1847.7,,"737 Gissendanner Road, Pinckard, Alabama 36371",Midland City,AL,36350,Emily Little,(522)985-0655,yes,real,,tskinner@example.com,,14,207,2026-01-25,31.25,-85.5,31.31,-85.5239,7.05
9,0.546,0.374,2026-05-06T21:00:00+00:00,13.58,429.4,0.583,1847.7,,"0193 County Road 14, , Alabama 36350",Midland City,AL,36350,Tammy Smith,845-699-1821x603,yes,real,,erin58@example.com,,20,229,2026-01-25,31.25,-85.5,31.3534,-85.513,11.56
10,0.546,0.374,2026-05-06T21:00:00+00:00,13.58,429.4,0.583,1847.7,,"083 Riley Drive, Midland City, Alabama 36350",Midland City,AL,36350,Kathleen Gonzalez,676-660-6165x61917,yes,real,,james03@example.com,,21,230,2026-01-25,31.25,-85.5,31.31,-85.49,6.74
11,0.531,0.367,2026-05-06T21:00:00+00:00,13.58,438.9,0.574,1624.4,,"438 County Road 622, Enterprise, Alabama 36331",Enterprise,AL,36330,William Brown,333.784.3325x427,yes,real,,gjones@example.com,,18,219,2026-01-25,31.25,-86.0,31.29,-85.89,11.36
