# 24h hail-strike call list. Generated 2026-05-06T07:33:08.855037+00:00 (UTC). --hours=24 --min-prob=0.5 --top=25 --state=TX,OK,KS,NE,AL,IL,MO,AR,LA,CO. 26/69 forecast cells crossed the floor.
rank,peak_hail_probability,peak_risk_score,peak_time_utc,hours_until_peak,hail_core_radius_ft,hail_core_confidence,peak_cape_j_kg,peak_lightning_potential,verified_full_address,verified_lat,verified_lon,address_resolution_status,is_residential_likely,gmaps_url,street_address,city,state,zip_code,homeowner_name,phone_number,has_phone,address_grade,address_grade_reasons,email,damage_score,contact_id,event_id,storm_event_date,forecast_cell_lat,forecast_cell_lon,storm_lat,storm_lon,distance_to_cell_km
1,0.97,0.605,2026-05-07T00:00:00+00:00,16.46,101.5,0.833,5699.1,,"452 N FM 1490, LEVELLAND, TX, 79336",33.59903,-102.403326,resolved,yes,"https://www.google.com/maps/place/33.599030158518,-102.403326158246",452 FM 1490,Levelland,TX,79336,Kelly Levy,894-929-6975,yes,real,,kelly.levy@gmail.com,1.01,2,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
2,0.97,0.605,2026-05-07T00:00:00+00:00,16.46,101.5,0.833,5699.1,,"3909 N FM 1490, LEVELLAND, TX, 79336",33.803033,-102.401069,resolved,yes,"https://www.google.com/maps/place/33.803033398311,-102.401069354194",3909 FM 1490,Levelland,TX,79336,Alicia Evans,911-687-6691,yes,real,,kking@example.com,1.01,8,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
3,0.97,0.605,2026-05-07T00:00:00+00:00,16.46,101.5,0.833,5699.1,,"608 N FM 1490, LEVELLAND, TX, 79336",33.600107,-102.403316,resolved,yes,"https://www.google.com/maps/place/33.600107045173,-102.403315651961","608 FM 1490, , Texas",Levelland,TX,79336,Nicholas Davis,824.620.9001x10053,yes,real,,daniel69@example.com,1.01,11,2,2024-05-29,33.5,-102.5,33.6107,-102.4069,15.03
4,0.633,0.38,2026-05-06T22:00:00+00:00,14.46,372.1,0.611,2557.5,,"644 OKLAHOMA AVE, WYNONA, OK, 74084",36.544526,-96.335839,resolved,yes,"https://www.google.com/maps/place/36.544526049415,-96.33583901833","644 , , Oklahoma 74084",Wynona,OK,74084,Katie Dorsey,656.763.0348,yes,real,,chad14@example.com,3.47,26,220,2026-01-08,36.5,-96.25,36.5181,-96.3422,8.48
5,0.57,0.386,2026-05-06T23:00:00+00:00,15.46,413.7,0.609,2050.0,,"3514 VAUGHN RD, MONTGOMERY, AL, 36106",32.352421,-86.251342,resolved,yes,"https://www.google.com/maps/place/32.352421030058,-86.251341958787","3514 Vaughn Road, Montgomery, Alabama 36106",Montgomery,AL,36111,Mr. Blake Jones,(367)497-9184,yes,real,,simonkimberly@example.com,,15,208,2026-01-25,32.25,-86.25,32.3524,-86.2513,11.39
6,0.546,0.374,2026-05-06T21:00:00+00:00,13.46,429.4,0.583,1847.7,,"737 GISSENDANNER RD, MIDLAND CITY, AL, 36350",31.310674,-85.519939,resolved,yes,"https://www.google.com/maps/place/31.310674166852,-85.519939342152","737 Gissendanner Road, Pinckard, Alabama 36371",Midland City,AL,36350,Emily Little,(522)985-0655,yes,real,,tskinner@example.com,,14,207,2026-01-25,31.25,-85.5,31.31,-85.5239,7.05
7,0.546,0.374,2026-05-06T21:00:00+00:00,13.46,429.4,0.583,1847.7,,"83 RILEY DR, MIDLAND CITY, AL, 36350",31.308001,-85.490133,resolved,yes,"https://www.google.com/maps/place/31.308001050543,-85.490132818988","083 Riley Drive, Midland City, Alabama 36350",Midland City,AL,36350,Kathleen Gonzalez,676-660-6165x61917,yes,real,,james03@example.com,,21,230,2026-01-25,31.25,-85.5,31.31,-85.49,6.74
8,0.531,0.367,2026-05-06T21:00:00+00:00,13.46,438.9,0.574,1624.4,,"438 CO RD 622, ENTERPRISE, AL, 36330",31.272902,-85.889939,resolved,yes,"https://www.google.com/maps/place/31.272902426686,-85.889938947872","438 County Road 622, Enterprise, Alabama 36331",Enterprise,AL,36330,William Brown,333.784.3325x427,yes,real,,gjones@example.com,,18,219,2026-01-25,31.25,-86.0,31.29,-85.89,11.36
9,0.679,0.441,2026-05-06T20:00:00+00:00,12.46,341.6,0.633,3340.7,,"250 N JULIETTE AVE, MANHATTAN, KS, 66502",39.181007,-96.566649,resolved,yes,"https://www.google.com/maps/place/39.181006637512,-96.566648673341",250 Juliette Ave,Manhattan,KS,66502,Homeowner,,no,no_phone,,,85.0,317,4497,2026-04-14,39.25,-96.5,39.18,-96.57,9.85
10,0.679,0.441,2026-05-06T20:00:00+00:00,12.46,341.6,0.633,3340.7,,"250 N JULIETTE AVE, MANHATTAN, KS, 66502",39.181007,-96.566649,resolved,yes,"https://www.google.com/maps/place/39.181006637512,-96.566648673341",250 Juliette Ave,Manhattan,KS,66502,Homeowner,,no,no_phone,,,85.0,41861,5278,2026-04-14,39.25,-96.5,39.18,-96.57,9.85
