phone_number,first_name,last_name,property_address,city,state,zip_code,hail_date,hail_size,storm_type,damage_probability,structures_hit,image_findings,lead_priority
phone_number,first_name,last_name,property_address,city,state,zip_code,hail_date,hail_size,storm_type,0.0,structures_hit,image_findings,lead_priority
+16825643646,Jesse,Mendoza,213 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,80.59,"Primary roof system, soft metals, and ancillary structures",Damage: 80.59%,PRIORITY_1_EMERGENCY
+11315464003,Deborah,Jenkins,215 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,82.17,"Primary roof system, soft metals, and ancillary structures",Damage: 82.17%,PRIORITY_1_EMERGENCY
+12691191839,Sarah,Cox,217 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,81.25,"Primary roof system, soft metals, and ancillary structures",Damage: 81.25%,PRIORITY_1_EMERGENCY
+18904153236,Elizabeth,Moore,219 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,82.52,"Primary roof system, soft metals, and ancillary structures",Damage: 82.52%,PRIORITY_1_EMERGENCY
+15583138475,Michael,Rivera,221 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,80.63,"Primary roof system, soft metals, and ancillary structures",Damage: 80.63%,PRIORITY_1_EMERGENCY
+14341932610,Samuel,Thompson DDS,223 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,80.2,"Primary roof system, soft metals, and ancillary structures",Damage: 80.2%,PRIORITY_1_EMERGENCY
+12088129187,Ana,Snyder,225 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,80.29,"Primary roof system, soft metals, and ancillary structures",Damage: 80.29%,PRIORITY_1_EMERGENCY
+10018792780474,Richard,Kane,"0694 Thirteen Mile Road, , Kansas",,KANSAS,,2024-05-29,104.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals, and ancillary structures","Sigificant 104.0"" hail event recorded. Visual anomalies on primary slopes.",PRIORITY_2_LIKELY_DAMAGE
+18246209001,Nicholas,Davis,"608 FM 1490, , Texas",Levelland,TEXAS,79336,2024-05-29,104.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals, and ancillary structures","Sigificant 104.0"" hail event recorded. Visual anomalies on primary slopes.",PRIORITY_2_LIKELY_DAMAGE
+16524174720,Misty,Brown,"Dundy County, Nebraska, United States",Parks,NEBRASKA,69041,2024-05-20,103.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals, and ancillary structures","Sigificant 103.0"" hail event recorded. Visual anomalies on primary slopes.",PRIORITY_2_LIKELY_DAMAGE
+16437968573,David,Mays,"Dundy County, Nebraska, United States",Parks,NEBRASKA,69041,2024-05-20,103.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals, and ancillary structures","Sigificant 103.0"" hail event recorded. Visual anomalies on primary slopes.",PRIORITY_2_LIKELY_DAMAGE
+19479357306,Mrs.,Kimberly Smith,"Dundy County, Nebraska, United States",Parks,NEBRASKA,69041,2024-05-20,103.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals, and ancillary structures","Sigificant 103.0"" hail event recorded. Visual anomalies on primary slopes.",PRIORITY_2_LIKELY_DAMAGE
+18183695594,Fred,Cook,"67750 , , Nebraska",Parks,NEBRASKA,69041,2024-05-20,103.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals, and ancillary structures","Sigificant 103.0"" hail event recorded. Visual anomalies on primary slopes.",PRIORITY_2_LIKELY_DAMAGE
