phone_number,first_name,last_name,property_address,city,state,zip_code,hail_date,hail_size,storm_type,damage_probability,structures_hit,image_findings,lead_priority
+12444679294,Evan,Harmon,128 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,26.94,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14196621564,Tyler,Jones,129 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.73,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+18755605519,Troy,Meyers,130 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,26.06,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+11700649630,Mike,Alvarado,131 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.75,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+10632598681,Carol,Soto,132 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.84,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17302341328,Mary,Hall MD,133 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.73,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+19908512505,Tamara,Michael,134 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.33,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16714138404,Jose,Lin,135 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.78,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14658523614,Kelly,Walsh,136 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.49,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+18092167354,Tiffany,Lambert,137 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.66,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14055848584,David,Cabrera,138 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,22.52,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17089865512,Matthew,Smith,139 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.57,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17859502388,Jonathan,Cooper,140 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,21.7,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12329041537,Gail,Walker,141 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.6,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+19590267538,Tracey,Dunn,142 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,21.01,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+15718309996,Victoria,Davila,143 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.53,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16377433978,Tammy,Anderson,144 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,20.34,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14451859013,Tina,Johnson,145 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.53,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+18186040376,Robert,Williams,146 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,20.1,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+15603775238,Catherine,Valentine,147 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.53,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+19850620062,Henry,Carter MD,148 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.62,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12249491032,Christina,Casey,149 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.42,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14606737967,Jacob,Jordan,150 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.32,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13397613215,Michael,Newman,151 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.3,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+15579125523,Ashley,Adkins,152 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.14,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14006680929,Charles,Thompson,153 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.49,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16541561875,Mallory,Grimes,154 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.56,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+18675250869,Melinda,Mcmillan,155 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.39,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14470078126,Matthew,Mueller,156 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.14,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16268683069,Janice,Young,157 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.4,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17658891928,Dr.,Taylor Huff,158 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.75,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12382756587,Christine,Dorsey,159 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.54,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16856214009,Meredith,Mccarthy,160 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.75,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16583607616,Joshua,Harvey,161 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.56,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12116369043,Andrew,Andrews,162 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,16.97,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14971340139,Lisa,Turner,163 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.59,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+19014532743,Kenneth,Patel,164 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,16.21,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16490541056,Steve,Sosa,165 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.66,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+10688857121,Jennifer,Parker,166 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,15.39,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17375200869,Ashley,Carroll,167 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.73,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17120088804,Jennifer,Harrison,168 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,14.53,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17768000285,Tanya,Edwards,169 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.66,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+11132239910,Holly,Lee,170 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,13.41,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+11219057040,Jessica,Taylor,171 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.79,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13779750155,Anthony,Garcia,172 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.72,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17013839347,Larry,Wagner,173 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.93,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+10710843048,Ashley,Mcdonald,174 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,11.48,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17098638796,Ryan,Jacobs,175 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.97,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17228221334,John,Mayer,176 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,11.84,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14598580134,Jordan,Thomas,177 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.05,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13286472881,Donna,Mcgee,178 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.06,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+19454536672,Leon,Kirk,179 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.93,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13780914641,Whitney,Harper,180 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.16,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12199185699,Jeff,Jones,181 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.12,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16885153873,Rickey,Scott,182 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.27,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+19614774377,Crystal,Olson,183 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,24.12,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+10865176430,Tammy,Boyd,184 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.05,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13199816895,Jeffrey,Walton,185 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.5,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+11246042974,Michael,Garza,186 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.16,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14931842828,Randall,Smith,187 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.4,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+18448844012,Linda,Ortiz,188 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,12.61,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13416742036,Jacob,Jones,189 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.37,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17427446025,Lori,Tran,190 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,13.12,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12167864150,Roger,Gonzalez,191 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.31,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13178870567,Zachary,Fox,192 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,13.6,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13108941375,Alex,Cameron,193 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.28,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14397946594,Jennifer,Castro,194 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,14.28,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+14805084824,Valerie,Mitchell,195 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.1,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+16391217163,Zachary,Gilbert,196 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,15.23,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+10529352758,Mr.,Jason Miller,197 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.11,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17373071033,Rachel,Aguilar MD,198 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.01,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13530865451,John,Mullen,199 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,19.01,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12833942695,Rebecca,Woods,200 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,21.55,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+13235250754,Melissa,Matthews,201 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,23.58,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+11833477036,David,Coleman,202 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,20.74,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12566868759,John,Horton,203 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,21.98,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+17583214150,Mrs.,Crystal Anderson,204 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,21.79,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+11118726625,Lauren,Smith,205 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,30.91,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
+12942691830,Daniel,Solomon,206 Indiana Ave,Wichita Falls,TX,76301,2026-04-25,3.0,Hail,25.01,Primary roof system and ancillary structures,Forensic scan flagged property following Hail event.,PRIORITY_2_LIKELY_DAMAGE
