first_name,last_name,phone_number,property_address,city,state,zip_code,property_type,hail_date,hail_size,storm_type,damage_probability,structures_hit,image_findings,lead_priority
Melissa,Mcgee,+14865143537,"10057 , Oklahoma 74084",Wynona,OKLAHOMA,74084,Residential,2026-01-08,76.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Sally,Turner,+18328682794,"20304 OK 152, Union City, Oklahoma 73090",Union City,OKLAHOMA,73090,Residential,2026-01-08,70.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Sara,Caldwell,+15536043538,"15922 County Road 1290, Oklahoma",Verden,OKLAHOMA,73092,Residential,2026-01-08,61.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Katie,Dorsey,+16567630348,"644 , Oklahoma 74084",Wynona,OKLAHOMA,74084,Residential,2026-01-08,57.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Andrea,Weber,+12208997909,"1798 West Wheeler Street, Shawnee, Oklahoma 74801",Shawnee,OKLAHOMA,74801,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Shawn,Levine,+19862396617,"79126 Northeast 45th Street, Lawton, Oklahoma 73507",Lawton,OKLAHOMA,73501,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Manuel,Nelson,+16885750984,"4613 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Maria,Coleman,+13839399079,"3806 West County Road 75, Oklahoma 73044",,OKLAHOMA,,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Mark,Myers,+16847760967,"18001 Coker Road, Bethel Acres, Oklahoma 74801",Tecumseh,OKLAHOMA,74873,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Tiffany,Camacho,+12389733215,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Cassandra,Martinez,+19577858614,"5515 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OKLAHOMA,73099,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Sarah,Jackson,+16193040516,"2300 Greenway Trail, Oklahoma City, Oklahoma 73117",Oklahoma City,OKLAHOMA,73117,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Benjamin,Collins,+17139738180,"3052 North Leo Street, Shawnee, Oklahoma 74804",Shawnee,OKLAHOMA,74804,Residential,2026-01-08,51.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Holly,Ortiz,+19577821756,"30793 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Sarah,Lee,+16647255032,"51691 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Nathan,West,+19362460880,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Tyler,Moore,+14659523936,"6221 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OKLAHOMA,73099,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Taylor,Mcdonald,+19919915405,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Brian,Franco,+18469512089,"1199 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Derrick,Harris,+15584370197,"009 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,56.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Craig,Davis,+19225405788,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Amy,Morgan,+16908261251,"3817 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OKLAHOMA,73099,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Christina,Jackson,+14519085681,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OKLAHOMA,74075,Residential,2026-01-08,52.0,Thunderstorm Wind,0.0,"Primary roof system, soft metals (vents/caps), and patio structures",Visible texture variations consistent with recent Thunderstorm Wind activity.,PRIORITY_2_LIKELY_DAMAGE
Kevin,Flynn,+18242127467,"244 Epley Avenue, Cromwell, Oklahoma 74859",,OKLAHOMA,,Residential,2026-01-08,1.0,Hail,0.0,Main roof surface and ridge lines,Visible texture variations consistent with recent Hail activity.,PRIORITY_3_LOW_INTENT
Henry,Fischer,+12895272498,"498 Southeast 5th Street, Luther, Oklahoma 73054",Luther,OKLAHOMA,73054,Residential,2026-01-08,0.75,Hail,0.0,Main roof surface and ridge lines,Visible texture variations consistent with recent Hail activity.,PRIORITY_3_LOW_INTENT
